,Date Time,Sensor,PM10,PM2_5,NO2,NO,NOx,CO,SO2,O3,Temp,Do_Am,TocDo_Gio,Luong_Mua,Huong_Gio,Pressure,Buc_Xa
28445,6/29/2020 5:00,CauGiay,,,,,,,,,,,,,,,
28446,6/29/2020 6:00,CauGiay,,,,,,,,,,,,,,,
28447,6/29/2020 7:00,CauGiay,,,,,,,,,,,,,,,
28448,6/29/2020 8:00,CauGiay,,,,,,,,,,,,,,,
28449,6/29/2020 9:00,CauGiay,,,,,,,,,,,,,,,
28450,6/29/2020 10:00,CauGiay,,,,,,,,,,,,,,,
28451,6/29/2020 11:00,CauGiay,,,,,,,,,,,,,,,
28452,6/29/2020 12:00,CauGiay,,,,,,,,,,,,,,,
28453,6/29/2020 13:00,CauGiay,,,,,,,,,,,,,,,
28454,6/29/2020 14:00,CauGiay,,,,,,,,,,,,,,,
28455,6/29/2020 15:00,CauGiay,,,,,,,,,,,,,,,
28456,6/29/2020 16:00,CauGiay,,,,,,,,,,,,,,,
28457,6/29/2020 17:00,CauGiay,,,,,,,,,,,,,,,
